Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.90779,0.7388,0.3293,0.45555,0.94215,0.82292,0.27451,0.41169,0.89348,0.76312,0.12957,0.22152,0.7881,0.56729,0.03656,0.068693,0.8941,0.69857,0.20286,0.31442
0.9053,0.73998,0.33324,0.45954,0.94201,0.82145,0.27422,0.41118,0.8953,0.77021,0.13134,0.22442,0.79443,0.57273,0.036945,0.069412,0.89255,0.70209,0.20327,0.31526
0.92621,0.77476,0.32784,0.46073,0.94705,0.83542,0.27524,0.41406,0.89837,0.77275,0.12696,0.21809,0.79836,0.58555,0.0346,0.06534,0.90079,0.70717,0.19761,0.3089
0.92529,0.77358,0.33156,0.46418,0.94536,0.8288,0.27399,0.41183,0.89979,0.77878,0.1294,0.22192,0.80674,0.59351,0.035741,0.067421,0.90354,0.71772,0.20175,0.31496
0.9191,0.76356,0.3301,0.46094,0.94492,0.82807,0.27421,0.41199,0.89882,0.77899,0.13042,0.22343,0.80505,0.58924,0.036018,0.067886,0.90058,0.71323,0.20184,0.31463
0.92942,0.78007,0.33545,0.46915,0.94249,0.82513,0.2731,0.41038,0.88645,0.74006,0.12405,0.21248,0.78905,0.55758,0.033755,0.063657,0.90375,0.71323,0.20203,0.31486
0.91955,0.76356,0.32472,0.45567,0.94695,0.83542,0.2753,0.41413,0.89474,0.7646,0.12584,0.21611,0.78597,0.57642,0.034201,0.06457,0.89389,0.69076,0.1944,0.30342
0.92523,0.77064,0.33147,0.46356,0.94535,0.82733,0.27363,0.41125,0.89935,0.77804,0.12903,0.22135,0.8069,0.59351,0.035903,0.06771,0.90385,0.7185,0.20238,0.3158
0.9215,0.76533,0.33188,0.46299,0.94411,0.82807,0.27481,0.41267,0.89651,0.77328,0.12927,0.22152,0.80773,0.59448,0.036146,0.068148,0.90637,0.72026,0.20438,0.31841
0.91813,0.76002,0.33102,0.46118,0.94514,0.82807,0.27468,0.41252,0.89811,0.77825,0.13011,0.22295,0.80379,0.59235,0.036703,0.069123,0.90128,0.71283,0.20219,0.31503
0.92158,0.76061,0.33333,0.46353,0.9405,0.81852,0.2725,0.40888,0.88257,0.73191,0.12487,0.21335,0.78644,0.55253,0.034392,0.064754,0.89552,0.70561,0.20293,0.31521
0.90392,0.74292,0.33448,0.46129,0.944,0.82219,0.2742,0.41125,0.89525,0.77211,0.13092,0.22388,0.7931,0.5739,0.037627,0.070624,0.89601,0.70483,0.20261,0.31474
