Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1,Popt,ACC,Prec,F1
0.86645,0.70106,0.32513,0.44424,0.92987,0.7928,0.28128,0.41524,0.84755,0.68127,0.12146,0.20616,0.8674,0.73064,0.14075,0.23603,0.83362,0.61594,0.18918,0.28945
0.92209,0.77358,0.33131,0.46393,0.94506,0.82439,0.27259,0.40971,0.88987,0.74808,0.12052,0.2076,0.89701,0.77772,0.12949,0.22201,0.89868,0.70561,0.19802,0.30925
0.91671,0.76474,0.32802,0.45912,0.94559,0.82366,0.27255,0.40957,0.88774,0.74455,0.12043,0.20732,0.89793,0.78132,0.13033,0.22339,0.89703,0.70541,0.19799,0.3092
0.84127,0.59316,0.36032,0.44831,0.9384,0.81411,0.27433,0.41037,0.85079,0.70485,0.12339,0.21002,0.87584,0.7519,0.14214,0.23909,0.84951,0.67728,0.2013,0.31036
0.93047,0.78538,0.33028,0.465,0.94791,0.83615,0.27475,0.41359,0.89781,0.76459,0.1212,0.20924,0.9009,0.77983,0.12714,0.21864,0.90799,0.72104,0.19965,0.31272
0.92211,0.77241,0.32742,0.45989,0.94604,0.83027,0.27427,0.41233,0.89014,0.74867,0.12005,0.20691,0.89999,0.77878,0.12882,0.22107,0.89723,0.70463,0.19699,0.3079
0.87991,0.69634,0.31919,0.43773,0.92892,0.79353,0.27404,0.40739,0.85101,0.67341,0.11944,0.2029,0.86792,0.72239,0.13836,0.23224,0.83389,0.5884,0.18276,0.27889
0.91195,0.75413,0.32569,0.45492,0.94578,0.83321,0.27544,0.41402,0.88685,0.74671,0.12106,0.20834,0.89725,0.77793,0.13012,0.22294,0.89635,0.70404,0.1977,0.30871
0.92979,0.78538,0.33242,0.46712,0.9466,0.83101,0.27365,0.41172,0.89548,0.7583,0.12088,0.20852,0.8981,0.77433,0.12746,0.21889,0.9054,0.71772,0.19982,0.3126
0.9283,0.78125,0.3315,0.46548,0.94499,0.82219,0.27121,0.40787,0.89442,0.7587,0.12122,0.20904,0.8957,0.76492,0.12629,0.21679,0.90781,0.72104,0.20078,0.3141
0.92927,0.78125,0.33042,0.46442,0.94682,0.83395,0.27455,0.4131,0.8956,0.75889,0.12087,0.20853,0.8976,0.77243,0.12702,0.21817,0.90491,0.71616,0.19939,0.31193
0.90873,0.75059,0.32937,0.45783,0.94296,0.81852,0.27217,0.40851,0.88032,0.73177,0.1217,0.20869,0.89278,0.76926,0.13081,0.22359,0.88821,0.69174,0.19714,0.30683
0.91356,0.75708,0.3283,0.458,0.9455,0.8288,0.27445,0.41236,0.8869,0.74317,0.12088,0.20793,0.89837,0.77962,0.13051,0.2236,0.89825,0.70893,0.19956,0.31145
0.92446,0.77889,0.33008,0.46367,0.94697,0.83395,0.27502,0.41363,0.89484,0.75712,0.12107,0.20876,0.90076,0.78428,0.12917,0.22181,0.90651,0.72026,0.20055,0.31375
0.90314,0.74175,0.32777,0.45464,0.94342,0.82366,0.27408,0.4113,0.8805,0.72981,0.12157,0.20842,0.89461,0.77232,0.13135,0.22452,0.89271,0.69955,0.19952,0.31049
0.89837,0.7329,0.33006,0.45514,0.94243,0.81925,0.27315,0.4097,0.87722,0.72175,0.12316,0.21042,0.88868,0.76418,0.14187,0.23931,0.88967,0.69428,0.20093,0.31166
0.90497,0.74351,0.32881,0.45598,0.94166,0.81631,0.2721,0.40816,0.87663,0.72431,0.12218,0.20909,0.88955,0.7646,0.13775,0.23345,0.88272,0.68412,0.19668,0.30552
0.92605,0.7783,0.32909,0.46259,0.94738,0.83248,0.27414,0.41245,0.896,0.76164,0.1214,0.20942,0.90173,0.78491,0.12895,0.22151,0.90587,0.71713,0.19932,0.31193
0.92467,0.77948,0.331,0.46467,0.94752,0.83395,0.27469,0.41325,0.8933,0.75712,0.1212,0.20895,0.90031,0.78438,0.12958,0.22242,0.90247,0.71147,0.19821,0.31005
0.91769,0.76592,0.32995,0.46121,0.94632,0.82733,0.27343,0.41102,0.88897,0.74592,0.12079,0.20791,0.89779,0.78089,0.13042,0.2235,0.89951,0.70678,0.19868,0.31017
0.9244,0.77889,0.32984,0.46343,0.94695,0.83395,0.27508,0.41371,0.89497,0.75673,0.12098,0.20861,0.9008,0.78449,0.12914,0.22177,0.90644,0.71928,0.20024,0.31327
0.9076,0.75177,0.33023,0.45888,0.94431,0.82366,0.27368,0.41085,0.88277,0.73669,0.12116,0.20809,0.89594,0.77338,0.13056,0.22341,0.89422,0.70189,0.19919,0.31032
0.91383,0.75825,0.32748,0.45741,0.94505,0.8288,0.27439,0.41228,0.8865,0.74278,0.12062,0.20754,0.89764,0.77878,0.13029,0.22323,0.89756,0.70697,0.19893,0.3105
0.91909,0.7671,0.32639,0.45794,0.94642,0.83321,0.27531,0.41387,0.89214,0.75182,0.12096,0.20839,0.89995,0.78481,0.12993,0.22294,0.90356,0.71518,0.19967,0.31219
0.91889,0.76769,0.32804,0.45966,0.94669,0.83248,0.2746,0.41298,0.89038,0.75025,0.12096,0.20834,0.89956,0.78428,0.13049,0.22375,0.90114,0.71225,0.19921,0.31134
0.91736,0.76533,0.32745,0.45866,0.94612,0.82954,0.27396,0.41189,0.88847,0.74592,0.12058,0.20761,0.89823,0.78036,0.1302,0.22316,0.89804,0.70502,0.19788,0.30903
0.91256,0.75708,0.3317,0.46129,0.94384,0.81705,0.27102,0.40703,0.88321,0.73551,0.11996,0.20627,0.89417,0.7755,0.13022,0.22299,0.89204,0.69975,0.19808,0.30875
0.76741,0.53774,0.29448,0.38055,0.85557,0.66128,0.28681,0.40009,0.78255,0.53174,0.12087,0.19697,0.81375,0.60686,0.13754,0.22426,0.80474,0.5335,0.18976,0.27994
0.91308,0.76002,0.33009,0.46027,0.94559,0.83101,0.27518,0.41345,0.88636,0.74258,0.12098,0.20806,0.89713,0.77878,0.13053,0.22358,0.8977,0.70717,0.19936,0.31104
0.85693,0.69104,0.32278,0.44002,0.9284,0.79133,0.2826,0.41647,0.84248,0.67636,0.12139,0.20583,0.8647,0.72313,0.1404,0.23514,0.82519,0.59543,0.18627,0.28377
0.89108,0.72111,0.32544,0.44848,0.94214,0.82366,0.27584,0.41327,0.87324,0.71527,0.12289,0.20975,0.88811,0.76312,0.14087,0.23783,0.88573,0.69037,0.19984,0.30996
0.89322,0.71639,0.32504,0.44718,0.93789,0.80382,0.27046,0.40474,0.86722,0.70741,0.12163,0.20758,0.88097,0.75529,0.14064,0.23713,0.86925,0.66986,0.19523,0.30234
0.91748,0.7612,0.32626,0.45675,0.94653,0.83174,0.27456,0.41284,0.88945,0.74946,0.12108,0.20847,0.89894,0.78227,0.13037,0.2235,0.90052,0.71108,0.19933,0.31138
0.91648,0.76297,0.32851,0.45927,0.94581,0.82586,0.27301,0.41037,0.888,0.74474,0.12048,0.20741,0.8977,0.781,0.1303,0.22335,0.89761,0.70483,0.19785,0.30897
0.92238,0.77653,0.33032,0.46349,0.94755,0.83395,0.27482,0.4134,0.89249,0.75535,0.12123,0.20893,0.90014,0.78407,0.12979,0.22272,0.90173,0.70912,0.19788,0.30942
0.89845,0.73467,0.32963,0.45508,0.94266,0.81925,0.27328,0.40985,0.87689,0.72156,0.12315,0.21039,0.88793,0.761,0.14136,0.23842,0.88931,0.69525,0.20106,0.31192
0.91746,0.76592,0.32638,0.45772,0.9467,0.83542,0.2755,0.41436,0.89077,0.7528,0.12119,0.20877,0.89974,0.78311,0.13014,0.22319,0.90036,0.7101,0.19838,0.31013
0.87524,0.70401,0.32463,0.44436,0.9321,0.79574,0.28028,0.41455,0.85285,0.68756,0.12175,0.20687,0.8712,0.73667,0.14098,0.23667,0.8433,0.63606,0.19245,0.29549
0.92224,0.77358,0.32957,0.46222,0.94715,0.83395,0.27482,0.4134,0.89179,0.753,0.12098,0.20846,0.89951,0.78417,0.13009,0.22315,0.9014,0.70893,0.198,0.30955
0.92068,0.77064,0.32922,0.46135,0.94694,0.83542,0.27564,0.41451,0.89216,0.753,0.12117,0.20875,0.89969,0.78333,0.13009,0.22313,0.90367,0.71635,0.20011,0.31283
0.92813,0.78597,0.33225,0.46706,0.94743,0.83321,0.27424,0.41266,0.89536,0.75968,0.12108,0.20887,0.90137,0.78354,0.12878,0.22121,0.90529,0.71928,0.19999,0.31296
0.91633,0.76238,0.32652,0.45721,0.94614,0.82954,0.2741,0.41204,0.88853,0.7473,0.1209,0.20812,0.89884,0.78185,0.13045,0.22359,0.89859,0.70756,0.19853,0.31006
0.90069,0.73762,0.33043,0.4564,0.94278,0.81925,0.27308,0.40963,0.87856,0.7245,0.12313,0.21049,0.88964,0.76608,0.14153,0.23892,0.89074,0.69506,0.20064,0.3114
0.91768,0.76415,0.32827,0.45925,0.94596,0.82733,0.2733,0.41087,0.88842,0.74573,0.12063,0.20766,0.89766,0.77994,0.13018,0.22312,0.89819,0.706,0.19818,0.30948
0.91959,0.76887,0.32838,0.46021,0.94615,0.8288,0.27372,0.41153,0.89008,0.74907,0.12084,0.20811,0.8994,0.78375,0.13044,0.22366,0.90034,0.70815,0.19856,0.31016
0.91555,0.76415,0.32752,0.45852,0.94578,0.83027,0.27527,0.41347,0.88839,0.74612,0.12113,0.20843,0.89899,0.78301,0.13073,0.22405,0.89976,0.70951,0.1994,0.31131
0.90849,0.74941,0.32724,0.45556,0.94538,0.82807,0.27434,0.41214,0.88414,0.73806,0.12072,0.2075,0.89362,0.76978,0.12971,0.22201,0.89213,0.69955,0.19743,0.30795
0.91255,0.75472,0.32778,0.45706,0.9458,0.8266,0.27359,0.41111,0.88548,0.74003,0.1204,0.20711,0.89644,0.77751,0.1303,0.22319,0.89496,0.70131,0.19752,0.30823
0.91294,0.75767,0.32932,0.45909,0.94532,0.82586,0.27368,0.41112,0.88617,0.7416,0.12075,0.20769,0.8978,0.77867,0.13052,0.22357,0.89725,0.7058,0.19914,0.31064
0.91444,0.75943,0.32715,0.45731,0.94523,0.82807,0.27401,0.41176,0.88686,0.74415,0.12073,0.20775,0.89778,0.77867,0.13021,0.22312,0.89776,0.70697,0.19875,0.31027
0.92701,0.77594,0.33124,0.46428,0.94149,0.82219,0.27266,0.40952,0.89471,0.75516,0.12116,0.20882,0.88722,0.74132,0.12337,0.21154,0.90178,0.70776,0.19978,0.3116
0.91772,0.76533,0.32679,0.45801,0.94591,0.83101,0.27438,0.41255,0.88937,0.74789,0.12062,0.20774,0.89927,0.78322,0.13037,0.22353,0.89977,0.70893,0.19851,0.31017
0.91003,0.75354,0.33109,0.46004,0.94404,0.82072,0.27224,0.40886,0.88295,0.73354,0.12059,0.20713,0.89405,0.77402,0.13053,0.22339,0.89306,0.70092,0.19901,0.31001
0.91563,0.76238,0.32553,0.45625,0.94651,0.83468,0.27546,0.41422,0.88937,0.75103,0.12125,0.20879,0.89885,0.78174,0.13022,0.22325,0.89907,0.70912,0.19838,0.31003
0.92326,0.773,0.32989,0.46243,0.94693,0.83395,0.27508,0.41371,0.8943,0.75712,0.12133,0.20915,0.90014,0.78534,0.12981,0.22279,0.90616,0.71752,0.1999,0.31269
0.92357,0.77653,0.33099,0.46414,0.94458,0.82439,0.27266,0.40979,0.88962,0.74435,0.1195,0.20594,0.89657,0.77285,0.12828,0.22004,0.89598,0.70385,0.19707,0.30792
0.90645,0.74292,0.32847,0.45553,0.9431,0.81631,0.27177,0.40778,0.87883,0.72745,0.1223,0.2094,0.89126,0.76746,0.13419,0.22843,0.88658,0.69096,0.19803,0.30783
0.9286,0.78125,0.32944,0.46345,0.94792,0.83395,0.27415,0.41265,0.89648,0.76184,0.12104,0.20889,0.9011,0.78311,0.12821,0.22034,0.90654,0.71811,0.19909,0.31175
0.82398,0.61262,0.30541,0.40761,0.904,0.75974,0.28151,0.41081,0.8262,0.62055,0.12066,0.20203,0.85441,0.68948,0.13876,0.23102,0.84673,0.6136,0.19457,0.29546
0.91192,0.75472,0.32871,0.45796,0.94507,0.82733,0.2741,0.41178,0.88551,0.74101,0.12071,0.20761,0.89702,0.77814,0.13053,0.22356,0.89596,0.70483,0.19901,0.31038
0.92669,0.78361,0.33134,0.46574,0.94661,0.82807,0.27282,0.41042,0.89252,0.75457,0.12042,0.2077,0.89973,0.77867,0.12819,0.22013,0.9009,0.70912,0.19741,0.30884
0.92564,0.77771,0.32926,0.46264,0.94773,0.83542,0.27497,0.41376,0.89421,0.75673,0.1208,0.20834,0.90177,0.78544,0.12934,0.2221,0.90418,0.71635,0.19922,0.31174
0.92747,0.78656,0.33653,0.47138,0.9448,0.82807,0.27334,0.41101,0.89476,0.75653,0.12137,0.20919,0.89694,0.77158,0.12802,0.2196,0.90861,0.7267,0.20377,0.31829
0.92157,0.77123,0.3279,0.46016,0.94641,0.83027,0.27394,0.41196,0.89076,0.75241,0.12086,0.20827,0.89982,0.78121,0.12963,0.22237,0.89948,0.70639,0.19742,0.3086
0.92054,0.77358,0.33073,0.46336,0.94621,0.83248,0.27527,0.41373,0.89041,0.7473,0.12079,0.20796,0.89654,0.77518,0.12928,0.2216,0.90245,0.71225,0.19972,0.31196
0.93047,0.78538,0.33028,0.465,0.94791,0.83615,0.27475,0.41359,0.89781,0.76459,0.1212,0.20924,0.9009,0.77983,0.12714,0.21864,0.90799,0.72104,0.19965,0.31272
0.5155,0.098467,0.45257,0.16174,0.51279,0.24614,0.25889,0.25235,0.57613,0.20927,0.1423,0.16941,0.56408,0.28227,0.15889,0.20332,0.42524,0.032038,0.31298,0.058125
0.93102,0.78774,0.33267,0.46779,0.94602,0.8266,0.27227,0.40961,0.89642,0.76027,0.12083,0.20853,0.89667,0.7682,0.12587,0.21629,0.90599,0.71733,0.19939,0.31205
0.92854,0.77712,0.33443,0.46762,0.94221,0.81925,0.27109,0.40738,0.89088,0.74907,0.12062,0.20778,0.88138,0.72292,0.12171,0.20835,0.90814,0.72299,0.20364,0.31778
