1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,53,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,68,68,69,69,70,70,71,71,72,72,73,73,74,74,75,75
0.81205,0.59223,0.77301,0.52985,0.85748,0.67133,0.85252,0.65409,0.87293,0.69444,0.84568,0.69378,0.80023,0.60065,0.81575,0.61905,0.68643,0.31925,0.98362,0.98113,0.98375,0.96703,0.94332,0.93785,0.82205,0.56827,0.69049,0.37743,0.78963,0.54974,0.69111,0.39344,0.793,0.5283,0.91467,0.819,0.91281,0.83051,0.76072,0.49524,0.81041,0.58095,0.7485,0.48795,0.3383,0.10145,0.75275,0.51613,0.60003,0.2071,0.83756,0.65672,0.79591,0.64286,0.8767,0.71533,0.89834,0.7973,0.84878,0.69942,0.82579,0.632,0.80632,0.55957,0.8266,0.55556,0.90884,0.85849,0.91991,0.85714,0.79665,0.5619,0.73873,0.49112,0.7546,0.4949,0.82841,0.62802,0.70695,0.44131,0.76673,0.58757,0.80541,0.56627,0.84626,0.63208,0.8399,0.61135,0.83614,0.58857,0.91078,0.87059,0.84247,0.65957,0.80919,0.64407,0.74179,0.55294,0.86159,0.64286,0.8196,0.55046,0.81227,0.60317,0.75937,0.47407,0.79325,0.54472,0.8003,0.552,0.70265,0.48684,0.73251,0.50909,0.70103,0.44643,0.7581,0.58824,0.73052,0.51351,0.77682,0.51064,0.68249,0.43548,0.63519,0.33333,0.62078,0.36585,0.72096,0.54688,0.74784,0.5,0.65352,0.31944,0.66319,0.4,0.77676,0.46429,0.68885,0.44444,0.79139,0.61538,0.80087,0.67742,0.71915,0.56522,0.54675,0.1875,0.85011,0.8
0.81694,0.60194,0.77137,0.50746,0.86297,0.68531,0.85252,0.65409,0.85811,0.68889,0.83919,0.6555,0.76477,0.55844,0.80831,0.59788,0.85947,0.68545,0.9868,0.98113,0.98929,0.97802,0.91114,0.81356,0.83753,0.61993,0.7901,0.53307,0.83235,0.62827,0.847,0.64344,0.7981,0.54403,0.91483,0.82805,0.90041,0.83898,0.76006,0.50476,0.80631,0.59048,0.78865,0.56024,0.82839,0.58937,0.78946,0.53763,0.79081,0.51479,0.81111,0.6194,0.85317,0.67857,0.8786,0.72993,0.83603,0.68243,0.80568,0.63584,0.80515,0.6,0.80612,0.55957,0.78082,0.50556,0.8937,0.83019,0.8951,0.85714,0.80998,0.5619,0.82847,0.62722,0.67725,0.41327,0.73503,0.54589,0.82046,0.61972,0.76151,0.45198,0.83359,0.60241,0.84395,0.64151,0.82829,0.60262,0.84386,0.62857,0.80131,0.58824,0.81978,0.61702,0.82163,0.72881,0.81226,0.65882,0.83778,0.60714,0.84328,0.62385,0.4138,0.13492,0.80875,0.62963,0.81481,0.61789,0.80734,0.608,0.77359,0.51316,0.71586,0.49091,0.75366,0.42857,0.74517,0.5,0.7901,0.56757,0.79177,0.6383,0.70649,0.43548,0.65225,0.33333,0.63108,0.39024,0.67756,0.45313,0.78416,0.58065,0.64666,0.31944,0.68703,0.43077,0.73892,0.46429,0.74514,0.48148,0.76526,0.58974,0.74075,0.58065,0.69337,0.52174,0.85495,0.75,0.8488,0.8
0.70332,0.46602,0.80588,0.54478,0.86306,0.69231,0.85252,0.65409,0.85064,0.66111,0.83071,0.64115,0.75242,0.53247,0.83013,0.62434,0.82706,0.62441,0.98574,0.98113,0.98331,0.96703,0.95286,0.9435,0.83836,0.61993,0.76998,0.50195,0.83175,0.62827,0.68513,0.38525,0.83754,0.61635,0.91529,0.82353,0.90085,0.80508,0.63521,0.38095,0.80949,0.6,0.8212,0.62651,0.65368,0.36232,0.76405,0.53763,0.78894,0.56805,0.80381,0.61194,0.87546,0.75893,0.88214,0.72993,0.88379,0.75,0.64518,0.24277,0.82404,0.62,0.80863,0.56318,0.79206,0.51667,0.89432,0.82075,0.91141,0.85714,0.79781,0.55238,0.83181,0.63314,0.81306,0.64796,0.81232,0.62319,0.82315,0.62441,0.84293,0.63277,0.83473,0.60241,0.74082,0.41981,0.84626,0.63755,0.84301,0.62857,0.89298,0.81176,0.75948,0.46809,0.78288,0.54237,0.82339,0.65882,0.83638,0.64286,0.81624,0.55046,0.8286,0.64286,0.8141,0.64444,0.83924,0.65854,0.81751,0.592,0.76285,0.47368,0.71652,0.49091,0.761,0.48214,0.72439,0.5,0.74588,0.54054,0.78547,0.61702,0.68169,0.3871,0.66992,0.30952,0.60208,0.34146,0.7206,0.54688,0.76862,0.56452,0.66565,0.33333,0.72056,0.52308,0.76759,0.53571,0.73582,0.55556,0.74032,0.5641,0.69435,0.51613,0.72594,0.56522,0.54675,0.1875,0.85011,0.8
0.69628,0.42718,0.86127,0.65672,0.8708,0.71329,0.85273,0.6478,0.86465,0.70556,0.84884,0.67943,0.76288,0.56818,0.80977,0.60053,0.85119,0.64789,0.98835,0.98113,0.99071,0.97802,0.9535,0.9435,0.83211,0.60517,0.78724,0.53307,0.83735,0.64921,0.83623,0.61066,0.80599,0.56604,0.90616,0.8009,0.90389,0.83898,0.76754,0.50476,0.778,0.57143,0.76082,0.54819,0.79438,0.58454,0.75425,0.52151,0.78943,0.5503,0.7045,0.47761,0.86947,0.73214,0.88387,0.74453,0.87462,0.77027,0.80828,0.6185,0.81323,0.596,0.81184,0.57401,0.80148,0.53889,0.90474,0.82075,0.92695,0.87912,0.69893,0.44762,0.81018,0.60355,0.8287,0.65306,0.79608,0.61353,0.8269,0.6338,0.84623,0.64972,0.83922,0.62651,0.84446,0.64623,0.84846,0.64629,0.83973,0.62857,0.90061,0.82353,0.81613,0.6383,0.85558,0.71186,0.61827,0.30588,0.83196,0.625,0.80377,0.56881,0.82993,0.65873,0.81472,0.64444,0.83917,0.65041,0.81846,0.624,0.76764,0.46053,0.74614,0.52727,0.76144,0.44643,0.74988,0.52941,0.79547,0.59459,0.76209,0.61702,0.72073,0.3871,0.63373,0.33333,0.60208,0.34146,0.68451,0.45313,0.78603,0.6129,0.65352,0.31944,0.72056,0.52308,0.79924,0.57143,0.69219,0.51852,0.77249,0.58974,0.74318,0.6129,0.83111,0.73913,0.59787,0.3125,0.85217,0.8
0.81688,0.60194,0.86162,0.64925,0.86297,0.68531,0.84459,0.66667,0.85403,0.67778,0.84011,0.66507,0.79202,0.60714,0.81528,0.60582,0.85029,0.65728,0.98966,0.98113,0.9715,0.96703,0.955,0.9435,0.83305,0.59779,0.62489,0.32685,0.82501,0.6178,0.67477,0.41803,0.83112,0.61006,0.91564,0.81448,0.90859,0.84746,0.60072,0.24762,0.76056,0.55238,0.81058,0.59639,0.55346,0.2657,0.78426,0.55376,0.79465,0.53846,0.7633,0.53731,0.86327,0.69643,0.89505,0.77372,0.89774,0.78378,0.8239,0.65318,0.80824,0.572,0.76054,0.44765,0.78698,0.53889,0.90179,0.82075,0.92948,0.86813,0.81039,0.5619,0.8531,0.64497,0.82633,0.67347,0.81055,0.63285,0.82469,0.6338,0.80823,0.61017,0.83478,0.63855,0.84805,0.65094,0.84844,0.64629,0.83922,0.62857,0.8945,0.81176,0.717,0.34043,0.85557,0.71186,0.67685,0.4,0.84641,0.625,0.85072,0.6422,0.84229,0.69048,0.79265,0.57037,0.84054,0.64228,0.81152,0.592,0.76691,0.47368,0.70726,0.45455,0.76623,0.51786,0.75507,0.52941,0.78603,0.56757,0.79892,0.6383,0.73114,0.51613,0.63373,0.33333,0.75051,0.56098,0.72096,0.54688,0.75355,0.56452,0.65352,0.31944,0.72056,0.52308,0.78358,0.53571,0.73876,0.51852,0.75776,0.58974,0.7424,0.64516,0.8285,0.69565,0.56425,0.1875,0.85101,0.8
0.70332,0.46602,0.81973,0.58209,0.8696,0.71329,0.36295,0,0.84414,0.65556,0.84348,0.67464,0.79183,0.60065,0.82378,0.62169,0.80118,0.56338,0.98972,0.98113,0.99178,0.97802,0.95274,0.93785,0.83671,0.60886,0.78441,0.52918,0.83333,0.64398,0.55484,0.27049,0.83361,0.6195,0.91004,0.81448,0.921,0.86441,0.7691,0.50476,0.78014,0.53333,0.28356,0.048193,0.82079,0.61353,0.7838,0.54839,0.78023,0.53254,0.83466,0.65672,0.872,0.72321,0.8887,0.74453,0.89479,0.7973,0.83558,0.69364,0.78622,0.536,0.81349,0.56318,0.70713,0.48889,0.85571,0.70755,0.93124,0.85714,0.8048,0.5619,0.84277,0.6568,0.79018,0.59694,0.79144,0.57488,0.82257,0.62441,0.8133,0.61582,0.83818,0.63855,0.8471,0.65566,0.8273,0.58079,0.84119,0.63429,0.89178,0.82353,0.83234,0.61702,0.83697,0.69492,0.80616,0.62353,0.86003,0.66071,0.8196,0.55046,0.82854,0.65873,0.76889,0.51852,0.83832,0.65041,0.81495,0.616,0.77078,0.51316,0.75185,0.50909,0.75467,0.5,0.75141,0.52941,0.79444,0.59459,0.77197,0.6383,0.63067,0.3871,0.65225,0.33333,0.67921,0.4878,0.72096,0.54688,0.78151,0.54839,0.65352,0.31944,0.67798,0.43077,0.74303,0.53571,0.68297,0.55556,0.7754,0.58974,0.68061,0.48387,0.7264,0.56522,0.54675,0.1875,0.85011,0.8
0.70332,0.46602,0.76871,0.47015,0.8708,0.71329,0.82273,0.60377,0.8636,0.70556,0.84454,0.66507,0.75505,0.53571,0.82341,0.61905,0.845,0.64319,0.98906,0.98113,0.99178,0.97802,0.95438,0.93785,0.84904,0.63469,0.77131,0.49805,0.8306,0.62827,0.79496,0.57787,0.70871,0.37736,0.91247,0.819,0.90053,0.80508,0.77447,0.53333,0.80269,0.61905,0.81624,0.63253,0.36044,0.096618,0.76961,0.53763,0.79475,0.5503,0.83097,0.65672,0.87226,0.73214,0.89245,0.75182,0.89869,0.80405,0.8481,0.72832,0.82082,0.608,0.80605,0.56318,0.73039,0.48889,0.89751,0.84906,0.93241,0.84615,0.80997,0.5619,0.83978,0.65089,0.8267,0.67857,0.76513,0.49275,0.82211,0.61972,0.81153,0.61017,0.83083,0.65663,0.84723,0.65566,0.83649,0.59825,0.83754,0.63429,0.89588,0.78824,0.79696,0.59574,0.85812,0.69492,0.81278,0.67059,0.86204,0.66071,0.83354,0.57798,0.84542,0.71429,0.79285,0.56296,0.79632,0.60163,0.81704,0.616,0.76689,0.47368,0.74961,0.49091,0.76097,0.48214,0.75379,0.52941,0.78189,0.59459,0.81616,0.61702,0.72292,0.40323,0.67596,0.30952,0.63856,0.39024,0.72346,0.54688,0.77784,0.58065,0.65352,0.31944,0.72461,0.46154,0.80235,0.60714,0.73146,0.51852,0.76791,0.61538,0.73889,0.6129,0.7462,0.56522,0.61459,0.3125,0.85011,0.8
0.7346,0.49515,0.85119,0.6194,0.86306,0.69231,0.68418,0.37736,0.86454,0.71111,0.83286,0.63636,0.78175,0.57792,0.82178,0.58466,0.84857,0.65258,0.99041,0.98113,0.99205,0.97802,0.9547,0.9322,0.83607,0.60517,0.769,0.48638,0.83365,0.63351,0.84459,0.63525,0.82329,0.60063,0.89868,0.80995,0.91473,0.86441,0.76837,0.51429,0.7156,0.41905,0.30146,0.042169,0.80492,0.58937,0.78685,0.56452,0.78963,0.54438,0.83014,0.65672,0.87951,0.75893,0.84661,0.69343,0.55998,0.22297,0.86231,0.72832,0.82457,0.62,0.79205,0.54513,0.77217,0.53889,0.89047,0.82075,0.93328,0.86813,0.81015,0.58095,0.8422,0.65089,0.82948,0.66837,0.81719,0.61353,0.81737,0.62911,0.81725,0.62712,0.83904,0.63855,0.68427,0.26887,0.84962,0.65066,0.80995,0.58286,0.8991,0.83529,0.80415,0.59574,0.80432,0.62712,0.8258,0.64706,0.85397,0.64286,0.73072,0.44037,0.83504,0.68254,0.76634,0.51111,0.83832,0.64228,0.81718,0.616,0.70805,0.44737,0.75811,0.50909,0.76109,0.5,0.74819,0.52941,0.56541,0.18919,0.77148,0.6383,0.73786,0.51613,0.66816,0.30952,0.60208,0.34146,0.69109,0.53125,0.77001,0.56452,0.6671,0.33333,0.68791,0.41538,0.72927,0.5,0.74632,0.48148,0.76255,0.61538,0.7683,0.6129,0.74686,0.56522,0.7707,0.5625,0.8488,0.8
0.69816,0.45631,0.87097,0.69403,0.83046,0.65035,0.84578,0.65409,0.86345,0.71111,0.83284,0.64593,0.77963,0.57792,0.8245,0.61905,0.82834,0.62441,0.9596,0.9434,0.9916,0.97802,0.95196,0.9322,0.83661,0.60886,0.78188,0.52918,0.83419,0.63351,0.8529,0.64754,0.82933,0.60063,0.82001,0.67421,0.92342,0.87288,0.64282,0.31429,0.78724,0.57143,0.3091,0.042169,0.79937,0.59903,0.78314,0.55914,0.7968,0.55621,0.75193,0.52239,0.87356,0.75,0.8408,0.70073,0.90445,0.7973,0.84744,0.72832,0.81493,0.592,0.76902,0.49819,0.8104,0.57222,0.90431,0.81132,0.92861,0.82418,0.80926,0.54286,0.84556,0.67456,0.83457,0.65306,0.8233,0.61836,0.82097,0.61502,0.84494,0.64407,0.85321,0.6506,0.71756,0.39623,0.8465,0.62882,0.83322,0.62857,0.90111,0.82353,0.83281,0.59574,0.848,0.69492,0.82495,0.65882,0.86049,0.66964,0.83294,0.56881,0.83385,0.69048,0.8079,0.62963,0.84156,0.63415,0.80461,0.608,0.77089,0.51316,0.75545,0.47273,0.76473,0.51786,0.7157,0.41176,0.78663,0.62162,0.76533,0.57447,0.72132,0.43548,0.6705,0.30952,0.75051,0.56098,0.69614,0.54688,0.72068,0.53226,0.6661,0.31944,0.72056,0.52308,0.73257,0.46429,0.72097,0.51852,0.76399,0.58974,0.61815,0.29032,0.7588,0.56522,0.74129,0.4375,0.83562,0.6
